sentence,IOB,tokens,aspect,position,sentiment,probs,confidence
i like how most of my purchases are fulfilled and refunds are done on time and everything is tracked perfectly also bring back blackpink as the face of shopee instead of discount ronaldo,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['i', 'like', 'how', 'most', 'of', 'my', 'purchases', 'are', 'fulfilled', 'and', 'refunds', 'are', 'done', 'on', 'time', 'and', 'everything', 'is', 'tracked', 'perfectly', 'also', 'bring', 'back', 'blackpink', 'as', 'the', 'face', 'of', 'shopee', 'instead', 'of', 'discount', 'ronaldo']",['refunds'],[[10]],['Positive'],"[[0.00019623583648353815, 0.0004953740281052887, 0.9993083477020264]]",[0.9993]
at first everything was fine and it was awesome however recently the app has been so annoying i tapped for sales alert for flash deals and nothing notified me and when i tried selling items on shopee when i type in the fullstop it is not allowed thus causing me to not be able to put in the price i want please fix this its driving me crazy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['at', 'first', 'everything', 'was', 'fine', 'and', 'it', 'was', 'awesome', 'however', 'recently', 'the', 'app', 'has', 'been', 'so', 'annoying', 'i', 'tapped', 'for', 'sales', 'alert', 'for', 'flash', 'deals', 'and', 'nothing', 'notified', 'me', 'and', 'when', 'i', 'tried', 'selling', 'items', 'on', 'shopee', 'when', 'i', 'type', 'in', 'the', 'fullstop', 'it', 'is', 'not', 'allowed', 'thus', 'causing', 'me', 'to', 'not', 'be', 'able', 'to', 'put', 'in', 'the', 'price', 'i', 'want', 'please', 'fix', 'this', 'its', 'driving', 'me', 'crazy']","['app', 'sales', 'price']","[[12], [20], [58]]","['Negative', 'Negative', 'Negative']","[[0.9967069029808044, 0.002193557098507881, 0.0010995344491675496], [0.9978823065757751, 0.0017672928515821695, 0.00035036494955420494], [0.996245801448822, 0.0031395324040204287, 0.000614585995208472]]","[0.9967, 0.9979, 0.9962]"
everything is gdkeep it up,"['O', 'O', 'O', 'O', 'O']","['everything', 'is', 'gdkeep', 'it', 'up']",[],[],[],[],[]
allows seller to sell products that does not tally with the information and no punishment to such seller disappointing in their customer service and investigation team for not doing and let such seller continue to sell their products shopee please protect the buyer from such sellers,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['allows', 'seller', 'to', 'sell', 'products', 'that', 'does', 'not', 'tally', 'with', 'the', 'information', 'and', 'no', 'punishment', 'to', 'such', 'seller', 'disappointing', 'in', 'their', 'customer', 'service', 'and', 'investigation', 'team', 'for', 'not', 'doing', 'and', 'let', 'such', 'seller', 'continue', 'to', 'sell', 'their', 'products', 'shopee', 'please', 'protect', 'the', 'buyer', 'from', 'such', 'sellers']",['customer service'],"[[21, 22]]",['Negative'],"[[0.9983566403388977, 0.0013718680711463094, 0.0002714870497584343]]",[0.9984]
i hve selected all products and try to pay but it keeps rolling to load again and cannot process i hve tried many times but it fails i hve already given up,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['i', 'hve', 'selected', 'all', 'products', 'and', 'try', 'to', 'pay', 'but', 'it', 'keeps', 'rolling', 'to', 'load', 'again', 'and', 'cannot', 'process', 'i', 'hve', 'tried', 'many', 'times', 'but', 'it', 'fails', 'i', 'hve', 'already', 'given', 'up']",['pay'],[[8]],['Negative'],"[[0.9981337189674377, 0.0016114768804982305, 0.0002548230404499918]]",[0.9981]
having the interaction online with sellers is a great idea,"['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']","['having', 'the', 'interaction', 'online', 'with', 'sellers', 'is', 'a', 'great', 'idea']",['sellers'],[[5]],['Positive'],"[[0.002100712386891246, 0.0004446833045221865, 0.9974545836448669]]",[0.9975]
item i bought is reasonable price well pack thanks,"['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O']","['item', 'i', 'bought', 'is', 'reasonable', 'price', 'well', 'pack', 'thanks']","['price', 'pack']","[[5], [7]]","['Positive', 'Positive']","[[0.0009295422350987792, 0.0004652966163121164, 0.9986051917076111], [0.0011201323941349983, 0.00048230221727862954, 0.9983975291252136]]","[0.9986, 0.9984]"
comfortable sound quality is really good for the price but when i try to talk to someone on phone it sounds airy to them and i can hear myself which is pretty weird highly recommended for music or watching videos only gaming is ok but for talking it sucks,"['O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['comfortable', 'sound', 'quality', 'is', 'really', 'good', 'for', 'the', 'price', 'but', 'when', 'i', 'try', 'to', 'talk', 'to', 'someone', 'on', 'phone', 'it', 'sounds', 'airy', 'to', 'them', 'and', 'i', 'can', 'hear', 'myself', 'which', 'is', 'pretty', 'weird', 'highly', 'recommended', 'for', 'music', 'or', 'watching', 'videos', 'only', 'gaming', 'is', 'ok', 'but', 'for', 'talking', 'it', 'sucks']","['sound quality', 'gaming']","[[1, 2], [41]]","['Positive', 'Neutral']","[[0.001433439552783966, 0.0034123158548027277, 0.9951542615890503], [0.43872299790382385, 0.5437082648277283, 0.01756877638399601]]","[0.9952, 0.5437]"
So just stick to it for 2 days until Linda likes it,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']","['So', 'just', 'stick', 'to', 'it', 'for', '2', 'days', 'until', 'Linda', 'likes', 'it']",['Linda'],[[9]],['Neutral'],"[[0.2652232348918915, 0.3895416557788849, 0.3452351689338684]]",[0.3895]
preferred seller cant even be trusted disappointing full of scams,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['preferred', 'seller', 'cant', 'even', 'be', 'trusted', 'disappointing', 'full', 'of', 'scams']",['seller'],[[1]],['Negative'],"[[0.9986796975135803, 0.0010337112471461296, 0.00028657694929279387]]",[0.9987]
"can it be a la ii lv , only the slippers are a little heavy , so I like them","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['can', 'it', 'be', 'a', 'la', 'ii', 'lv', ',', 'only', 'the', 'slippers', 'are', 'a', 'little', 'heavy', ',', 'so', 'I', 'like', 'them']",['slippers'],[[10]],['Negative'],"[[0.9973962306976318, 0.002178396098315716, 0.00042545117321424186]]",[0.9974]
fast delivery i love it so much the sound is good pls buy it now guys,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['fast', 'delivery', 'i', 'love', 'it', 'so', 'much', 'the', 'sound', 'is', 'good', 'pls', 'buy', 'it', 'now', 'guys']","['delivery', 'sound']","[[1], [8]]","['Positive', 'Positive']","[[0.000943859398830682, 0.00034768207115121186, 0.9987084865570068], [0.0007063879747875035, 0.000293139077257365, 0.9990004897117615]]","[0.9987, 0.999]"
effectivenessgood qualitygood oh god thank you for everything I ' m really happy with the current situation happy and gemvira is smiling because the item was received safely it ' s fine it ' s just a typo,"['B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['effectivenessgood', 'qualitygood', 'oh', 'god', 'thank', 'you', 'for', 'everything', 'I', ""'"", 'm', 'really', 'happy', 'with', 'the', 'current', 'situation', 'happy', 'and', 'gemvira', 'is', 'smiling', 'because', 'the', 'item', 'was', 'received', 'safely', 'it', ""'"", 's', 'fine', 'it', ""'"", 's', 'just', 'a', 'typo']",['effectivenessgood qualitygood'],"[[0, 1]]",['Positive'],"[[0.0003528754459694028, 0.0007310720975510776, 0.9989160299301147]]",[0.9989]
pop up another valentine sheet notification again beech,"['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']","['pop', 'up', 'another', 'valentine', 'sheet', 'notification', 'again', 'beech']",['notification'],[[5]],['Negative'],"[[0.8444927334785461, 0.1536683738231659, 0.0018388236640021205]]",[0.8445]
"The quality of the fabric is beautiful , just like in the picture","['O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'quality', 'of', 'the', 'fabric', 'is', 'beautiful', ',', 'just', 'like', 'in', 'the', 'picture']",['of the fabric'],"[[2, 3, 4]]",['Positive'],"[[0.0005011000903323293, 0.0010811222018674016, 0.9984177350997925]]",[0.9984]
easy and convenient to shop anything you want at a affordable cost,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP']","['easy', 'and', 'convenient', 'to', 'shop', 'anything', 'you', 'want', 'at', 'a', 'affordable', 'cost']",['cost'],[[11]],['Positive'],"[[0.0007440021727234125, 0.0006322719273157418, 0.9986237287521362]]",[0.9986]
good product fast delivery,"['O', 'O', 'O', 'B-ASP']","['good', 'product', 'fast', 'delivery']",['delivery'],[[3]],['Positive'],"[[0.010208532214164734, 0.00113746989518404, 0.9886540770530701]]",[0.9887]
great user friendly platform n lots of free promo vouchers,"['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']","['great', 'user', 'friendly', 'platform', 'n', 'lots', 'of', 'free', 'promo', 'vouchers']",['platform'],[[3]],['Positive'],"[[0.00116608920507133, 0.0003260376979596913, 0.9985077977180481]]",[0.9985]
gd app to shop in,"['O', 'B-ASP', 'O', 'O', 'O']","['gd', 'app', 'to', 'shop', 'in']",['app'],[[1]],['Negative'],"[[0.9982120990753174, 0.0014124157605692744, 0.0003755708457902074]]",[0.9982]
shopee offer great price,"['O', 'O', 'O', 'B-ASP']","['shopee', 'offer', 'great', 'price']",['price'],[[3]],['Positive'],"[[0.029313523322343826, 0.002498209709301591, 0.9681882858276367]]",[0.9682]
horrible and intrusive app makes awfully loud notifications with my phone screaming shopeeee all the time cant you just let it be thr standard bloody notification ringtone never gonna install this crappy app again,"['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['horrible', 'and', 'intrusive', 'app', 'makes', 'awfully', 'loud', 'notifications', 'with', 'my', 'phone', 'screaming', 'shopeeee', 'all', 'the', 'time', 'cant', 'you', 'just', 'let', 'it', 'be', 'thr', 'standard', 'bloody', 'notification', 'ringtone', 'never', 'gonna', 'install', 'this', 'crappy', 'app', 'again']","['app', 'notifications']","[[3], [7]]","['Negative', 'Negative']","[[0.9987088441848755, 0.0009187160758301616, 0.00037239203811623156], [0.9986899495124817, 0.000930870184674859, 0.00037923111813142896]]","[0.9987, 0.9987]"
delivery was speedy packaging is in within another box so neatly pack switch you da best,"['B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['delivery', 'was', 'speedy', 'packaging', 'is', 'in', 'within', 'another', 'box', 'so', 'neatly', 'pack', 'switch', 'you', 'da', 'best']","['delivery', 'packaging']","[[0], [3]]","['Positive', 'Positive']","[[0.0012325443094596267, 0.0003583832585718483, 0.9984090924263], [0.0007889863918535411, 0.0002837570500560105, 0.9989272952079773]]","[0.9984, 0.9989]"
"good material , size 2xl is good for weight 60 height 150 hehhe","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O']","['good', 'material', ',', 'size', '2xl', 'is', 'good', 'for', 'weight', '60', 'height', '150', 'hehhe']","['material', 'weight', 'height']","[[1], [8], [10]]","['Positive', 'Positive', 'Positive']","[[0.00021735108748544008, 0.0010601123794913292, 0.998722493648529], [0.0042571090161800385, 0.15704688429832458, 0.8386960029602051], [0.006839864421635866, 0.28965750336647034, 0.7035025954246521]]","[0.9987, 0.8387, 0.7035]"
"The item has arrived well , there is a warranty , I bought it during the sale , it ' s a little cheap","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'item', 'has', 'arrived', 'well', ',', 'there', 'is', 'a', 'warranty', ',', 'I', 'bought', 'it', 'during', 'the', 'sale', ',', 'it', ""'"", 's', 'a', 'little', 'cheap']","['arrived', 'warranty']","[[3], [9]]","['Positive', 'Positive']","[[0.00020808026602026075, 0.0004382482438813895, 0.9993537068367004], [0.0002264278446091339, 0.000530241581145674, 0.9992433786392212]]","[0.9994, 0.9992]"
function welllove it,"['B-ASP', 'O', 'O']","['function', 'welllove', 'it']",['function'],[[0]],['Positive'],"[[0.059731125831604004, 0.004687038715928793, 0.9355818033218384]]",[0.9356]
i already have the shoppe app but why i can install it again,"['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['i', 'already', 'have', 'the', 'shoppe', 'app', 'but', 'why', 'i', 'can', 'install', 'it', 'again']",['app'],[[5]],['Neutral'],"[[0.023666230961680412, 0.9744473695755005, 0.0018863518489524722]]",[0.9744]
beli size 2xl tp mcm s,"['O', 'B-ASP', 'O', 'O', 'O', 'O']","['beli', 'size', '2xl', 'tp', 'mcm', 's']",['size'],[[1]],['Neutral'],"[[0.0023801513016223907, 0.9926031231880188, 0.005016759969294071]]",[0.9926]
helpful and prompt service till yesterday i have written to you yesterday on an overdue delivery which i need urgently but no reply as of now unfortunately,"['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['helpful', 'and', 'prompt', 'service', 'till', 'yesterday', 'i', 'have', 'written', 'to', 'you', 'yesterday', 'on', 'an', 'overdue', 'delivery', 'which', 'i', 'need', 'urgently', 'but', 'no', 'reply', 'as', 'of', 'now', 'unfortunately']","['service', 'delivery']","[[3], [15]]","['Positive', 'Negative']","[[0.0006739979726262391, 0.0002741478674579412, 0.9990518689155579], [0.9946367144584656, 0.0025275738444179296, 0.0028356860857456923]]","[0.9991, 0.9946]"
performancegood qualitynice all good just the delivery takes a little time but everything is okay thank you,"['B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['performancegood', 'qualitynice', 'all', 'good', 'just', 'the', 'delivery', 'takes', 'a', 'little', 'time', 'but', 'everything', 'is', 'okay', 'thank', 'you']","['performancegood qualitynice', 'delivery']","[[0, 1], [6]]","['Negative', 'Negative']","[[0.8161081075668335, 0.016414783895015717, 0.1674771010875702], [0.9944270849227905, 0.004862621426582336, 0.0007103349198587239]]","[0.8161, 0.9944]"
"The item is a bit slow until I buy it , because there are comments saying that I bought it today , tomorrow I can get overalls , the item was received in good condition , the device is stable , cengini","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP']","['The', 'item', 'is', 'a', 'bit', 'slow', 'until', 'I', 'buy', 'it', ',', 'because', 'there', 'are', 'comments', 'saying', 'that', 'I', 'bought', 'it', 'today', ',', 'tomorrow', 'I', 'can', 'get', 'overalls', ',', 'the', 'item', 'was', 'received', 'in', 'good', 'condition', ',', 'the', 'device', 'is', 'stable', ',', 'cengini']","['device', 'cengini']","[[37], [41]]","['Positive', 'Positive']","[[0.0007809515227563679, 0.0010110235307365656, 0.9982080459594727], [0.0008302999776788056, 0.0009941417956724763, 0.9981756210327148]]","[0.9982, 0.9982]"
good app satisfied costumer here,"['O', 'B-ASP', 'O', 'O', 'O']","['good', 'app', 'satisfied', 'costumer', 'here']",['app'],[[1]],['Positive'],"[[0.013559166342020035, 0.0009505146299488842, 0.9854903221130371]]",[0.9855]
good online shopping app esp the feature of showing all similar products and have good sellers with competitive pricings the ratings response time of sellers are valuable info to determine which seller to buy from however the app will crash after viewing beyond 35 pages,"['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['good', 'online', 'shopping', 'app', 'esp', 'the', 'feature', 'of', 'showing', 'all', 'similar', 'products', 'and', 'have', 'good', 'sellers', 'with', 'competitive', 'pricings', 'the', 'ratings', 'response', 'time', 'of', 'sellers', 'are', 'valuable', 'info', 'to', 'determine', 'which', 'seller', 'to', 'buy', 'from', 'however', 'the', 'app', 'will', 'crash', 'after', 'viewing', 'beyond', '35', 'pages']","['app', 'pricings']","[[3], [18]]","['Positive', 'Positive']","[[0.0006359589751809835, 0.000361354963388294, 0.9990027546882629], [0.0003937878063879907, 0.0002692651760298759, 0.9993368983268738]]","[0.999, 0.9993]"
unable to add my items into the shopping cart or pay,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O']","['unable', 'to', 'add', 'my', 'items', 'into', 'the', 'shopping', 'cart', 'or', 'pay']",['shopping cart'],"[[7, 8]]",['Negative'],"[[0.6608865261077881, 0.3350830376148224, 0.00403051869943738]]",[0.6609]
so far so good,"['O', 'O', 'O', 'O']","['so', 'far', 'so', 'good']",[],[],[],[],[]
scammers their sellers do not ship out their items or ship out only some items or ship out random cheap things you didnt order and they allow sellers to do so because the refund process is complicated did not receive my item but shopee rejected my claim for a refund happened twice now shopee guarantee is over because they took so long to dispute this and i will not get either my item or the money back scam app perfect for sellers who want to make a lot of money without incurring loss,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['scammers', 'their', 'sellers', 'do', 'not', 'ship', 'out', 'their', 'items', 'or', 'ship', 'out', 'only', 'some', 'items', 'or', 'ship', 'out', 'random', 'cheap', 'things', 'you', 'didnt', 'order', 'and', 'they', 'allow', 'sellers', 'to', 'do', 'so', 'because', 'the', 'refund', 'process', 'is', 'complicated', 'did', 'not', 'receive', 'my', 'item', 'but', 'shopee', 'rejected', 'my', 'claim', 'for', 'a', 'refund', 'happened', 'twice', 'now', 'shopee', 'guarantee', 'is', 'over', 'because', 'they', 'took', 'so', 'long', 'to', 'dispute', 'this', 'and', 'i', 'will', 'not', 'get', 'either', 'my', 'item', 'or', 'the', 'money', 'back', 'scam', 'app', 'perfect', 'for', 'sellers', 'who', 'want', 'to', 'make', 'a', 'lot', 'of', 'money', 'without', 'incurring', 'loss']",[],[],[],[],[]
performanceloveeee qualityvery good if you are a student its kinda good it doesnt really hurt with my kind of specs the sound is good too overall my money is worth it,"['B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['performanceloveeee', 'qualityvery', 'good', 'if', 'you', 'are', 'a', 'student', 'its', 'kinda', 'good', 'it', 'doesnt', 'really', 'hurt', 'with', 'my', 'kind', 'of', 'specs', 'the', 'sound', 'is', 'good', 'too', 'overall', 'my', 'money', 'is', 'worth', 'it']","['performanceloveeee qualityvery', 'sound']","[[0, 1], [21]]","['Positive', 'Positive']","[[0.0002620052546262741, 0.0010115157347172499, 0.9987264275550842], [0.00030128523940220475, 0.0006220341310836375, 0.9990766048431396]]","[0.9987, 0.9991]"
my 3rd purchaseawesome,"['O', 'O', 'O']","['my', '3rd', 'purchaseawesome']",[],[],[],[],[]
i have no problems with shopee so far delivery are prompt it just the payment system need to be given a choice selection while checking outon whether paying by credits or debit card i put in two account but only credit card was accepted,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['i', 'have', 'no', 'problems', 'with', 'shopee', 'so', 'far', 'delivery', 'are', 'prompt', 'it', 'just', 'the', 'payment', 'system', 'need', 'to', 'be', 'given', 'a', 'choice', 'selection', 'while', 'checking', 'outon', 'whether', 'paying', 'by', 'credits', 'or', 'debit', 'card', 'i', 'put', 'in', 'two', 'account', 'but', 'only', 'credit', 'card', 'was', 'accepted']",['delivery'],[[8]],['Positive'],"[[0.0034405209589749575, 0.002832814585417509, 0.9937266111373901]]",[0.9937]
comfortability indeed soft rubber material,"['O', 'O', 'O', 'B-ASP', 'I-ASP']","['comfortability', 'indeed', 'soft', 'rubber', 'material']",['rubber material'],"[[3, 4]]",['Positive'],"[[0.010620581917464733, 0.004317559767514467, 0.9850618243217468]]",[0.9851]
"Tq seller , parcel has arrived","['O', 'O', 'O', 'B-ASP', 'O', 'O']","['Tq', 'seller', ',', 'parcel', 'has', 'arrived']",['parcel'],[[3]],['Neutral'],"[[0.02425529807806015, 0.9441657662391663, 0.03157898411154747]]",[0.9442]
make shopping easier,"['O', 'O', 'O']","['make', 'shopping', 'easier']",[],[],[],[],[]
great shopping experience,"['O', 'B-ASP', 'O']","['great', 'shopping', 'experience']",['shopping'],[[1]],['Positive'],"[[0.00968003086745739, 0.0017210429068654776, 0.9885989427566528]]",[0.9886]
hi shopee cant open the app i need to check my orders,"['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']","['hi', 'shopee', 'cant', 'open', 'the', 'app', 'i', 'need', 'to', 'check', 'my', 'orders']",['app'],[[5]],['Negative'],"[[0.996931791305542, 0.0028772770892828703, 0.00019083153165411204]]",[0.9969]
qualityrubber the mats are comfortable enough to wear at home,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['qualityrubber', 'the', 'mats', 'are', 'comfortable', 'enough', 'to', 'wear', 'at', 'home']",['mats'],[[2]],['Positive'],"[[0.0019262396963313222, 0.0007264215964823961, 0.997347354888916]]",[0.9973]
fast response fast delivery and good quality thank you,"['O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O']","['fast', 'response', 'fast', 'delivery', 'and', 'good', 'quality', 'thank', 'you']","['delivery', 'quality']","[[3], [6]]","['Positive', 'Positive']","[[0.0009679801296442747, 0.0003747717128135264, 0.9986572265625], [0.0008993002702482045, 0.00039166348869912326, 0.9987090826034546]]","[0.9987, 0.9987]"
failure to control the prices and allowing the retailers to inflate their prices during this covid19 situation shows a lack of ethics on both the retailers and shopees end also a lack of crisis management and proper planning will be waiting for shopee to implement measures to protect the consumers from exploitation during this global pandemic before i decide to never purchase from shopee ever again,"['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['failure', 'to', 'control', 'the', 'prices', 'and', 'allowing', 'the', 'retailers', 'to', 'inflate', 'their', 'prices', 'during', 'this', 'covid19', 'situation', 'shows', 'a', 'lack', 'of', 'ethics', 'on', 'both', 'the', 'retailers', 'and', 'shopees', 'end', 'also', 'a', 'lack', 'of', 'crisis', 'management', 'and', 'proper', 'planning', 'will', 'be', 'waiting', 'for', 'shopee', 'to', 'implement', 'measures', 'to', 'protect', 'the', 'consumers', 'from', 'exploitation', 'during', 'this', 'global', 'pandemic', 'before', 'i', 'decide', 'to', 'never', 'purchase', 'from', 'shopee', 'ever', 'again']","['prices', 'prices']","[[4], [12]]","['Negative', 'Negative']","[[0.9974008798599243, 0.0014983129221946, 0.0011007203720510006], [0.9974008798599243, 0.0014983129221946, 0.0011007203720510006]]","[0.9974, 0.9974]"
many range of products great online shopping platform,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP']","['many', 'range', 'of', 'products', 'great', 'online', 'shopping', 'platform']",['platform'],[[7]],['Positive'],"[[0.0018137182341888547, 0.0006083656917326152, 0.997577965259552]]",[0.9976]
"thin quality , size xxl , but fits people size s","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['thin', 'quality', ',', 'size', 'xxl', ',', 'but', 'fits', 'people', 'size', 's']",['quality'],[[1]],['Negative'],"[[0.9976028800010681, 0.002135662594810128, 0.00026151989004574716]]",[0.9976]
goods received in good condition and fast delivery material quit thin maybe price cheaper,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'B-ASP', 'O']","['goods', 'received', 'in', 'good', 'condition', 'and', 'fast', 'delivery', 'material', 'quit', 'thin', 'maybe', 'price', 'cheaper']","['delivery material', 'price']","[[7, 8], [12]]","['Positive', 'Positive']","[[0.001467962865717709, 0.00044187920866534114, 0.9980900883674622], [0.002557311672717333, 0.0006082039908505976, 0.9968344569206238]]","[0.9981, 0.9968]"
